image_link,itemid,price,global_category1,description,global_category2,global_item_attributes,item_rating,sale_price,global_catid2,discount_percentage,image_link_3,title,global_catid1,product_link,product_short link
https://cf.shopee.com.br/file/br-11134207-820l5-mmfc6gu51m9s8e,58200026552,219.99,Sports & Outdoors,"👟 Tênis Feminino Olympikus Apolis Original + Brinde: 1 Par de Meias GRÁTIS! 💖 Conforto, Leveza e Estilo para o Dia a Dia!


👟 TÊNIS FEMININO OLYMPIKUS APOLIS ORIGINAL + BRINDE EXCLUSIVO!
🔥 Ganhe 1 par de meias totalmente GRÁTIS! 🔥
Se você quer CONFORTO de verdade, LEVEZA de ponta e um DESIGN que valoriza qualquer look, este é o tênis perfeito para você! O Olympikus Apolis é aquele modelo que ""não tem erro"": resistente, confortável e com tecnologia de amortecimento superior para acompanhar seu ritmo o dia inteiro — sem cansar seus pés.


🚀 POR QUE ESTE TÊNIS VENDE TANTO? Motivos que fazem TODA diferença:

🔸 Tecnologia Evasense Power Soft – Amortecimento EXTREMAMENTE macio, reduz impacto e traz sensação de leveza IMEDIATA.
🔸 Cabedal em Tecido Jacquard Multicolor – Muito mais respirável, flexível e resistente ao desgaste do dia a dia.
🔸 Palmilha em EVA Ultra Comfort – Apoio anatômico que mantém seus pés relaxados por horas.
🔸 Forro Acolchoado Premium – Chega de machucar os pés! Conforto real em cada movimento.
🔸 Solado em Borracha Antiderrapante – Segurança garantida em qualquer superfície.
🔸 Design Moderno & Versátil – Combina com jeans, leggings, looks fitness e casuais.
🔸 Calce Fácil + Puxador Traseiro – Mais praticidade para quem tem pressa no dia a dia.
🔸 BRINDE EXCLUSIVO: 1 par de meias GRÁTIS para completar seu conforto 🧦✨

💥 Indicado para:
Caminhada | Academia | Trabalho | Uso Diário | Viagens | Rotina intensa



📦 ENVIO IMEDIATO — ÚLTIMAS UNIDADES!
Pedidos pagos até 15h são despachados NO MESMO DIA!
⚠️ Estoque MUITO LIMITADO — oferta válida enquanto durar o estoque!
🔍
Tênis Feminino Olympikus Original, Tênis Olympikus Apolis, Tênis para Caminhada Feminino, Tênis Feminino Confortável, Olympikus Feminino, Tênis Esportivo Feminino, Tênis Feminino Leve, Olympikus Evasense, Tênis Academia Feminino, Tênis Feminino Promoção, Tênis Feminino com Brinde

#TênisFemininoOlympikus #OlympikusApolis #SuperConforto #BrindeExclusivo #OlympikusOriginal #TênisParaCaminhada #TênisCasualFeminino #LeveEConfortável #TênisDeAcademia #PromoShopee #OfertaEspecial",Sports Footwear,"[{""attr_id"":100022,""attr_val_id"":652,""formatted_value"":""Female"",""status"":1},{""attr_id"":100037,""attr_val_id"":11663,""formatted_value"":""Brazil"",""status"":1},{""attr_id"":100134,""attr_val_id"":1129,""formatted_value"":""Canvas"",""status"":1},{""attr_id"":100134,""attr_val_id"":1190,""formatted_value"":""Rubber"",""status"":1},{""attr_id"":100134,""attr_val_id"":1280,""formatted_value"":""Synthetic"",""status"":1},{""attr_id"":100163,""attr_val_id"":11578,""formatted_value"":""All Seasons"",""status"":1},{""attr_id"":100199,""attr_val_id"":1666,""formatted_value"":""Laces"",""status"":1},{""attr_id"":100206,""attr_val_id"":0,""formatted_value"":""ESPORTIVO DIA A DIA  PARA TRABALHARCAMINHADA ACADEMIA CORRIDA "",""status"":1},{""attr_id"":100413,""attr_val_id"":0,""formatted_value"":""NOVO"",""status"":1},{""attr_id"":100999,""attr_val_id"":0,""formatted_value"":""PAR"",""status"":1},{""attr_id"":101029,""attr_val_id"":0,""formatted_value"":""30CM"",""status"":1},{""attr_id"":101639,""attr_val_id"":0,""formatted_value"":""TÊNIS CAMINHADA"",""status"":1},{""attr_id"":101639,""attr_val_id"":0,""formatted_value"":""TÊNIS FEMININO ACADEMIA CORRIDA LEVES"",""status"":1},{""attr_id"":101639,""attr_val_id"":0,""formatted_value"":""TÊNIS FEMININO CONFORTÁVEL "",""status"":1},{""attr_id"":101639,""attr_val_id"":0,""formatted_value"":""TÊNIS FEMININO DIA A DIA PARA TRABALHO"",""status"":1},{""attr_id"":101639,""attr_val_id"":0,""formatted_value"":""TÊNIS OLYMPIKUS FEMININO ORIGINAL "",""status"":1}]",4.89,169.99,100726,23,https://cf.shopee.com.br/file/br-11134207-820le-mmfc6gu530u868,Tênis Feminino  Olympikus  Apolis Academia  Dia a Dia Esportivo  Caminhada Original  +1 Par de Meias,100637,https://shopee.com.br/product/1154441220/58200026552,https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.com.br%2Fproduct%2F1154441220%2F58200026552
https://cf.shopee.com.br/file/sg-11134201-22110-m6soh9iipikv31,22108389843,168.32,Spare Parts and Accessories for Vehicles,"O Suporte de Baú 80 litros Removível BIZ 125 2006 à 2010 Pro Tork é fabricado com matéria-prima de alta qualidade, garantindo máxima resistência.

Especificações:

- Indicado para Baús de 80 Litros;
- Cor: Preto;
- Modelo: Removível;
- Desenvolvido em chapas de aço altamente reforçadas;
- Oferece a possibilidade de retirar o suporte afrouxando quatro parafusos borboleta;
- Produto de fácil instalação;
- Foto Ilustrativa;
- Marca: Pro Tork.

Aplicação:

- BIZ 125 2006;
- BIZ 125 2007;
- BIZ 125 2008;
- BIZ 125 2009;
- BIZ 125 2010;

Instalação:

- A instalação deve ser feita por um profissional especializado. A Sportbay não se responsabiliza por instalação mal realizada.",Accessories for Motorcycles,,4.62,123.05,102260,27,https://cf.shopee.com.br/file/sg-11134201-22110-kig5twiipikv90,Suporte Baú 80 Litros Removível Biz 125 2006/2010,102187,https://shopee.com.br/product/436682589/22108389843,https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.com.br%2Fproduct%2F436682589%2F22108389843
https://cf.shopee.com.br/file/br-11134207-81ztc-mkejdkvzym8250,58254815193,50,Food & Beverages,"Balas De Algas


Nome do Produto: Balas de Algas Marinhas Sweet Jelly

Peso: 500g

Tipo: Doce gelatinoso

Sabor: Apresenta um perfil de sabor que mistura o doce com um leve toque salgado e uma das algas marinhas, proporcionando uma experiência gustativa distinta e refrescante.

Textura: Gelatinosa e macia, típica das balas tipo jelly, com uma consistência que permite uma mastigação suave.
Ingredientes: Incluem açúcar, xarope de glicose, algas marinhas (como nori ou wakame), gelatina, e possivelmente corantes e aromatizantes artificiais ou naturais para realçar o sabor e a aparência.
Características Adicionais: Pode ter uma cor verde ou marrom dependendo do tipo e quantidade de algas utilizadas. Algumas variações podem incluir pedaços de algas ou pequenos enfeites para uma apresentação mais atraente.
Benefícios: Oferece um sabor exótico e pode ser uma alternativa interessante para quem procura algo diferente dos doces tradicionais. Além disso, as algas marinhas são conhecidas por seus benefícios nutricionais, como a presença de minerais e vitaminas.
Essas balas são ideais para quem gosta de experimentar novos sabores e texturas, ou para quem está em busca de uma opção de doce com um toque mais saudável e exótico.",Snacks,"[{""attr_id"":100037,""attr_val_id"":6737,""formatted_value"":""Brasil"",""status"":1},{""attr_id"":100095,""attr_val_id"":578,""formatted_value"":""200g"",""status"":1},{""attr_id"":100162,""attr_val_id"":0,""formatted_value"":""impressão de texto"",""status"":1},{""attr_id"":100249,""attr_val_id"":168,""formatted_value"":""Strawberry"",""status"":1}]",5,29.9,100646,40,https://cf.shopee.com.br/file/br-11134207-81ztc-mkejdkw000si21,Balas De Algas Marinhas Sweet Jelly Sabor Morango 200/500/1000g,100629,https://shopee.com.br/product/1262747549/58254815193,https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.com.br%2Fproduct%2F1262747549%2F58254815193
https://cf.shopee.com.br/file/br-11134207-7r98o-lzg98rx0339d54,22097751941,29.99,Pets,"Sachê 100gramas

Anti pulgas

Inseticida Carbamato Contra Pulgas, Piolhos e Carrapatos.
Para uso em Cães, Aves, Instalações/Esterqueiras/Camas dos animais e nos seus arredores.

INDICAÇÕES
Combate a ectoparasitos (insetos e ácaros) de cães e aves, das dependências e instalações agropecuárias, tais como:
Piolhos e carrapatos das aves, Pulgas dos animais domésticos, Moscas domésticas, de estábulos, pocilgas e galinheiros, Musca domestica,

Espécies: aves e cães.
Ectoparasiticida.
Aplicação: local.
Inseticida contra pulgas, piolhos e carrapatos.

Envio imediato!

Pronto Entrega!
",Pet Healthcare,"[{""attr_id"":100037,""attr_val_id"":6737,""formatted_value"":""Brasil"",""status"":1},{""attr_id"":100095,""attr_val_id"":0,""formatted_value"":""120.000g"",""status"":1},{""attr_id"":100248,""attr_val_id"":533,""formatted_value"":""100ml"",""status"":1},{""attr_id"":100999,""attr_val_id"":0,""formatted_value"":""3"",""status"":1},{""attr_id"":101029,""attr_val_id"":0,""formatted_value"":""300G/GR"",""status"":1}]",4.88,29.99,100672,0,https://cf.shopee.com.br/file/br-11134207-7r98o-lzg98rx00a4h64,Kit 3 Unidades Piolhicida Pulfo Sache 100g - Laippe,100631,https://shopee.com.br/product/405635623/22097751941,https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.com.br%2Fproduct%2F405635623%2F22097751941
https://cf.shopee.com.br/file/br-11134207-820m5-mnj0ko686io143,50759514649,14.43,Home & Living,"Tapete Absorvente de Mesa – Praticidade e Elegância para sua Casa!

Transforme sua rotina com o Tapete Absorvente de Mesa, o item perfeito para manter sua casa sempre limpa e organizada com muito estilo.

✨ Alta Absorção
Desenvolvido com material de alta qualidade, absorve líquidos rapidamente, evitando sujeiras e manchas na mesa ou bancada.

✨ Secagem Rápida
Tecnologia que acelera a evaporação da água, mantendo o tapete sempre seco e pronto para o uso.

✨ Antiderrapante
Base firme que garante estabilidade, evitando que o tapete deslize durante o uso.

✨ Versátil e Funcional
Ideal para cozinha, área de café, bar ou decoração. Perfeito para apoiar copos, pratos, garrafas e utensílios.

✨ Design Moderno
Disponível em cores elegantes que combinam com qualquer ambiente, agregando beleza à sua decoração.

📏 Tamanhos: 30x40cm e 20x30cm depedendo do modelo.

💡 Perfeito para o dia a dia!

**Evite bagunça e mantenha sua casa mais organizada com um toque de sofisticação.**

🚚 Envio rápido e seguro

🛒 Garanta já o seu!


",Dinnerware,"[{""attr_id"":100134,""attr_val_id"":0,""formatted_value"":""Tecido Emborrachado"",""status"":1},{""attr_id"":100162,""attr_val_id"":1628,""formatted_value"":""Printed"",""status"":1},{""attr_id"":100162,""attr_val_id"":11594,""formatted_value"":""Figure"",""status"":1},{""attr_id"":100162,""attr_val_id"":11696,""formatted_value"":""Solid"",""status"":1},{""attr_id"":100169,""attr_val_id"":11679,""formatted_value"":""Modern"",""status"":1},{""attr_id"":100169,""attr_val_id"":11757,""formatted_value"":""Classic"",""status"":1}]",4.94,14.43,100718,0,https://cf.shopee.com.br/file/br-11134207-820m5-mnj0ko6900ld8a,"Tapete Absorvente, Esteira de Secagem Para Cozinha E Cantinho Do Café - Elegante e Funcional",100636,https://shopee.com.br/product/542475874/50759514649,https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.com.br%2Fproduct%2F542475874%2F50759514649
https://cf.shopee.com.br/file/br-11134207-820lv-mpgramv8a6mb93,22594883025,48.9,Home & Living,"Um cordão decorativo delicado e encantador, perfeito para comemorar o primeiro aninho 🎀
Feito com detalhes em tons de rosa e creme, possui lindas tassels (franjinhas de lã) intercaladas com contas de madeira, trazendo um estilo artesanal e aconchegante. No centro, um bandeirinha rústica em juta com o número 1 em rosa, decorada com pequenos laços, que dá um charme especial à peça.
Ideal para decoração de aniversário de 1 ano, ensaios fotográficos ou mesa de festa, deixando o ambiente ainda mais fofo e delicado. ✨
Se quiser, também posso fazer:
uma descrição para venda
uma versão curta para Instagram
ou colocar preço e assinatura Bella D Arte.

Bandeirola Branca, escolher entre uma das três opções das cores nas fotos, ou degradê.

Medidas na foto.
pode haver variação de cor.

Qualquer alteração por favor entrar em contato pelo chat assim que fizer o pedido.

",Party Supplies,"[{""attr_id"":100999,""attr_val_id"":0,""formatted_value"":""1"",""status"":1}]",5,48.9,100722,0,https://cf.shopee.com.br/file/br-11134207-820lq-mpgrakvzr8qp46,"Bandeirola Boho "" 1 ano"" com pompons e contas de madeira ensaio/festa rosa.",100636,https://shopee.com.br/product/229318140/22594883025,https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.com.br%2Fproduct%2F229318140%2F22594883025
https://cf.shopee.com.br/file/sg-11134201-824iq-me4tr18nrj0icb,23798856505,105.9,Beauty,"

proteção contra os danos do sol e hidratação para pele normal a seca.




• promove hidratação revitalizante por até 8 horas
• loção com textura leve e acabamento invisível
• com tecnologia bioproteção tripla ação que ajuda na proteção, prevenção e cuidado
• alta proteção solar com FPS UVB 70 e FPUVA 25
• com complexo nutritivo que mantém a hidratação por mais tempo
• fórmula não comedogênica, que não obstrui e nem bloqueia os poros
• resistência à água e ao suor, sendo ideal desde o uso diário até a alta exposição solar
• fragrância refrescante: com complexo de notas aquosas e frutas frescas, evoca memórias vibrantes dos momentos ao sol
• embalagem prática e sustentável: tampa anti-areia e frasnagas com 100% PE verde
• aprovado por consumidores de todos os tons de pele.

",Skincare,,4.88,64.9,100664,39,,Protetor Solar Facial Pele Normal a Seca FPS 70 Natura Solar 50 ml,100630,https://shopee.com.br/product/869381791/23798856505,https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.com.br%2Fproduct%2F869381791%2F23798856505
https://cf.shopee.com.br/file/br-11134207-7r98o-m0j43yllg4u93b,20657544383,250,Spare Parts and Accessories for Vehicles,"Pneu Traseiro: 190/50 R17 72S
Modelo: Angel GT
Marca: AM Plus
Índice de Carga e Velocidade: 72 (355kg) S(180km/h)
Seção: Sport
Uso: Sem Câmara
Tipo: Ecológico (Remold)

A NOVA REFERÊNCIA EM QUILOMETRAGEM: 100% GRAN TURISMO ITALIANO
Opção ideal para motociclistas que realizam muitas viagens e desejam o máximo rendimento quilométrico, mas que não abrem mão da pilotagem esportiva: 100% Gran Turismo Italiano.
- Excelência em aderência e performance no molhado.
- Desempenho constante até ao final da vida útil do pneu.

Tabela de Aplicação.:
Honda CBR 1000RR
Suzuki GSX-R1000
Suzuki GSX-S1000A
Suzuki GSX-S1000FA
Suzuki Hayabusa GSX1300RA
Suzuki Nova Hayabusa
Yamaha YZF-R1
Kawasaki Z1000
E Similares.

Antes de finalizar a compra, confira as medidas que sua moto está utilizando atualmente.
Aguardamos a sua compra!

A Cesari Pneus LTDA é uma empresa brasileira com raízes profundas no estado de Santa Catarina. Fundada em 2010, a empresa se destaca por dar uma nova vida a pneus que seriam descartados, transformando-os em produtos de alta qualidade para uso off road e com um custo mais acessível. Esse processo não só reduz o impacto ambiental, mas também contribui para a economia local, gerando empregos e movimentando o mercado de peças para motocicletas.",Tires and Wheels,"[{""attr_id"":101638,""attr_val_id"":0,""formatted_value"":""Ecológico"",""status"":1},{""attr_id"":101639,""attr_val_id"":0,""formatted_value"":""190/50-17 Sport"",""status"":1},{""attr_id"":101640,""attr_val_id"":15616,""formatted_value"":""Moto"",""status"":1},{""attr_id"":101640,""attr_val_id"":15617,""formatted_value"":""Street"",""status"":1}]",4.64,250,102264,0,https://cf.shopee.com.br/file/br-11134207-7r98o-lzuvkw8o2ji9fa,Pneu 190/50 R17 CBR 600 1000 CB1000R 1300,102187,https://shopee.com.br/product/674490148/20657544383,https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.com.br%2Fproduct%2F674490148%2F20657544383
https://cf.shopee.com.br/file/sg-11134201-7rbk4-loqul4pgk9oo14,20499092776,38.9,Food & Beverages,"LICOR DE JENIPAPO 500ML

DESCRICAO DO PRODUTO:
Jenipapo, deliciosa fruta de polpa aromatica, utilizada em estimulante de apetite. E rica em ferro, hidratos de carbono, vitaminas B1, B2, B5 e C. E materia prima para esse finissimo licor, produzido pela familia Carvalho atraves de geracoes. Produzido com alcool, acucar e polpa da fruta. 

Produzido pela familia Carvalho, atraves das geracoes passadas.


INFORMACOES ADICIONAIS:
. Marca : Brilhante
. Tipo: Licor
. Sabor: Jenipapo
. Teor Alcoolico: 11.00%
. Volume: 500ml
. Ingredientes: Polpa natural da Jenipapo, acucar e alcool
. Origem: Bocaiuva / Minas Gerais
. Prazo de Validade Indeterminada

ITENS INCLUSOS:
. 01 Licor de Jenipapo 500ml

Prazo de Envio:
. Imediato apos a confirmacao do pagamento.",Alcoholic Beverages,"[{""attr_id"":100999,""attr_val_id"":0,""formatted_value"":""1"",""status"":1}]",4.17,38.9,100655,0,,Licor de Jenipapo Natural Brilhante 500ml,100629,https://shopee.com.br/product/372777333/20499092776,https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.com.br%2Fproduct%2F372777333%2F20499092776
https://cf.shopee.com.br/file/br-11134207-7r98o-lruhz08x7ku31b,20099198291,47.99,Women Clothes,"BEM VINDO A HILPPER!!

Saia Jeans secretária Moda Evangélica, Vestindo bem e valorizando a mulher brasileira!

Material: JEANS COM LYCRA

Os bolsos da frente são Fake, os traseiros são verdadeiros.
________________________________________________________________________
MEDIDAS:

N° 36 - Cintura: 68 cm, Quadril : 84 cm, Comprimento: 56 cm
N° 38 - Cintura: 72 cm, Quadril : 88 cm, Comprimento: 58 cm
N° 40 - Cintura: 76 cm, Quadril : 92 cm, Comprimento: 58 cm
N° 42 - Cintura: 80 cm, Quadril : 96 cm, Comprimento: 59 cm
N° 44 - Cintura: 84 cm, Quadril : 100 cm, Comprimento: 59 cm
N° 46 - Cintura: 88 cm, Quadril : 104 cm, Comprimento: 60 cm

_________________________________________________________________________

Super Confortável, pra você se sentir bem vestida com um Look moderno, deixando a sua Alta Estima lá em cima!!!

Características:
Saia tamanho clássico",Skirts,"[{""attr_id"":100134,""attr_val_id"":1229,""formatted_value"":""Denim"",""status"":1},{""attr_id"":100152,""attr_val_id"":1408,""formatted_value"":""Pencil"",""status"":1},{""attr_id"":100162,""attr_val_id"":1463,""formatted_value"":""Plain"",""status"":1}]",4.75,47.99,100102,0,,Saia Jeans Secretária Moda Feminina/Moda Evangélica,100017,https://shopee.com.br/product/837275238/20099198291,https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.com.br%2Fproduct%2F837275238%2F20099198291
